DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADOLESCENTES,2021,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADOLESCENTES,2022,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADOLESCENTES,2022,9,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADOLESCENTES,2023,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,5,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2016,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,10,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,3,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,9,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2024,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2024,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,8,3
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,10,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,9,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2016,1,1
